resolution,series,3-gram
90,2020,force approved 90th
90,2020,approved 90th inter
90,2020,90th inter agency
90,2020,inter agency task
90,2020,agency task force
90,2020,task force meeting
90,2020,force meeting reflected
90,2020,meeting reflected minutes
90,2020,reflected minutes meeting
90,2020,minutes meeting held
90,2020,meeting held 22nd
90,2020,held 22nd december
90,2020,22nd december 2020
90,2020,december 2020 video
90,2020,2020 video conference
90,2020,video conference certification
92,2021,section article 1987
92,2021,article 1987 constitution
92,2021,1987 constitution states
92,2021,constitution states state
92,2021,states state protect
92,2021,state protect promote
92,2021,protect promote right
92,2021,promote right health
92,2021,right health people
92,2021,health people instill
92,2021,people instill health
92,2021,instill health consciousness
92,2021,health consciousness among
92,2021,consciousness among section
92,2021,among section executive
92,2021,section executive order
92,2021,executive order 168
92,2021,order 168 mandates
92,2021,168 mandates inter
92,2021,mandates inter agency
92,2021,inter agency task
92,2021,agency task force
92,2021,task force management
92,2021,force management emerging
92,2021,management emerging infectious
92,2021,emerging infectious diseases
92,2021,infectious diseases prevent
92,2021,diseases prevent minimize
92,2021,prevent minimize entry
92,2021,minimize entry suspected
92,2021,entry suspected confirmed
92,2021,suspected confirmed patients
92,2021,confirmed patients emerging
92,2021,patients emerging infectious
92,2021,emerging infectious diseases
92,2021,infectious diseases country
92,2021,diseases country september
92,2021,country september 2020
92,2021,september 2020 president
92,2021,2020 president issued
92,2021,president issued proclamation
92,2021,issued proclamation 1021
92,2021,proclamation 1021 2020
92,2021,1021 2020 extending
92,2021,2020 extending period
92,2021,extending period state
92,2021,period state calamity
92,2021,state calamity throughout
92,2021,calamity throughout philippines
92,2021,throughout philippines september
92,2021,philippines september 2021
92,2021,september 2021 department
92,2021,2021 department health
92,2021,department health received
92,2021,health received reports
92,2021,received reports regarding
92,2021,reports regarding new
92,2021,regarding new variant
92,2021,new variant sars
92,2021,variant sars cov
92,2021,sars cov vui
92,2021,cov vui 2020
92,2021,vui 2020 spreading
92,2021,2020 spreading united
92,2021,spreading united kingdom
92,2021,united kingdom great
92,2021,kingdom great britain
92,2021,great britain northern
92,2021,britain northern ireland
92,2021,northern ireland united
92,2021,ireland united kingdom
92,2021,united kingdom pursuant
92,2021,kingdom pursuant memorandum
92,2021,pursuant memorandum executive
92,2021,memorandum executive secretary
92,2021,executive secretary dated
92,2021,secretary dated december
92,2021,dated december 2020
92,2021,december 2020 providing
92,2021,2020 providing additional
92,2021,providing additional measures
92,2021,additional measures observed
92,2021,measures observed relative
92,2021,observed relative sars
92,2021,relative sars cov
92,2021,sars cov variant
92,2021,cov variant detected
92,2021,variant detected united
92,2021,detected united kingdom
92,2021,united kingdom travel
92,2021,kingdom travel restrictions
92,2021,travel restrictions placed
92,2021,restrictions placed nineteen
92,2021,placed nineteen countries
92,2021,nineteen countries jurisdictions
92,2021,countries jurisdictions subjected
92,2021,jurisdictions subjected filipino
92,2021,subjected filipino citizens
92,2021,filipino citizens coming
92,2021,citizens coming countries
92,2021,coming countries jurisdictions
92,2021,countries jurisdictions absolute
92,2021,jurisdictions absolute day
92,2021,absolute day quarantine
92,2021,day quarantine period
92,2021,quarantine period notwithstanding
92,2021,period notwithstanding negative
92,2021,notwithstanding negative reverse
92,2021,negative reverse transcription
92,2021,reverse transcription polymerase
92,2021,transcription polymerase chain
92,2021,polymerase chain reaction
92,2021,chain reaction pcr
92,2021,reaction pcr test
92,2021,pcr test result
92,2021,test result january
92,2021,result january 2021
92,2021,january 2021 total
92,2021,2021 total twenty
92,2021,total twenty one
92,2021,twenty one nine
92,2021,one nine hundred
92,2021,nine hundred ninety
92,2021,hundred ninety seven
92,2021,ninety seven 997
92,2021,seven 997 active
92,2021,997 active covid
92,2021,active covid cases
92,2021,covid cases philippines
92,2021,cases philippines therefore
92,2021,philippines therefore resolved
92,2021,therefore resolved hereby
92,2021,resolved hereby resolved
92,2021,hereby resolved iatf
92,2021,resolved iatf approves
92,2021,iatf approves following
92,2021,approves following recommendations
92,2021,following recommendations iatf
92,2021,recommendations iatf technical
92,2021,iatf technical working
92,2021,technical working group
92,2021,working group specifics
92,2021,group specifics follows
92,2021,specifics follows compliance
92,2021,follows compliance directives
92,2021,compliance directives president
92,2021,directives president technical
92,2021,president technical working
92,2021,technical working group
92,2021,working group covid
92,2021,group covid variants
92,2021,covid variants established
92,2021,variants established monitor
92,2021,established monitor identify
92,2021,monitor identify occurrence
92,2021,identify occurrence sars
92,2021,occurrence sars cov
92,2021,sars cov variants
92,2021,cov variants country
92,2021,variants country provide
92,2021,country provide policy
92,2021,provide policy recommendations
92,2021,policy recommendations iatf
92,2021,recommendations iatf response
92,2021,iatf response variants
92,2021,response variants concern
92,2021,variants concern twg
92,2021,concern twg composed
92,2021,twg composed following
92,2021,composed following agency
92,2021,following agency representatives
92,2021,agency representatives agencies
92,2021,representatives agencies representatives
92,2021,agencies representatives institutions
92,2021,representatives institutions may
92,2021,institutions may identified
92,2021,may identified doh
92,2021,identified doh process
92,2021,doh process convention
92,2021,process convention chair
92,2021,convention chair usec
92,2021,chair usec maria
92,2021,usec maria rosario
92,2021,maria rosario singh
92,2021,rosario singh vergeire
92,2021,singh vergeire department
92,2021,vergeire department health
92,2021,department health chair
92,2021,health chair executive
92,2021,chair executive director
92,2021,executive director jaime
92,2021,director jaime montoya
92,2021,jaime montoya philippine
92,2021,montoya philippine council
92,2021,philippine council health
92,2021,council health research
92,2021,health research development
92,2021,research development members
92,2021,development members anna
92,2021,members anna ong
92,2021,anna ong lim
92,2021,ong lim doh
92,2021,lim doh technical
92,2021,doh technical advisory
92,2021,technical advisory group
92,2021,advisory group tag
92,2021,group tag marissa
92,2021,tag marissa alejandria
92,2021,marissa alejandria doh
92,2021,alejandria doh tag
92,2021,doh tag edsel
92,2021,tag edsel maurice
92,2021,edsel maurice salvafia
92,2021,maurice salvafia doh
92,2021,salvafia doh tag
92,2021,doh tag celia
92,2021,tag celia carlos
92,2021,celia carlos research
92,2021,carlos research institute
92,2021,research institute tropical
92,2021,institute tropical medicine
92,2021,tropical medicine eva
92,2021,medicine eva maria
92,2021,eva maria cutiongco
92,2021,maria cutiongco dela
92,2021,cutiongco dela paz
92,2021,dela paz university
92,2021,paz university philippines
92,2021,university philippines national
92,2021,philippines national institutes
92,2021,national institutes health
92,2021,institutes health cynthia
92,2021,health cynthia saloma
92,2021,cynthia saloma university
92,2021,saloma university philippines
92,2021,university philippines philippine
92,2021,philippines philippine genome
92,2021,philippine genome center
92,2021,genome center john
92,2021,center john wong
92,2021,john wong epimetrics
92,2021,wong epimetrics doh
92,2021,epimetrics doh department
92,2021,doh department trade
92,2021,department trade industry
92,2021,trade industry department
92,2021,industry department labor
92,2021,department labor employment
92,2021,labor employment department
92,2021,employment department tourism
92,2021,department tourism department
92,2021,tourism department interior
92,2021,department interior local
92,2021,interior local government
92,2021,local government particularly
92,2021,government particularly local
92,2021,particularly local government
92,2021,local government units
92,2021,government units department
92,2021,units department information
92,2021,department information communications
92,2021,information communications technology
92,2021,communications technology office
92,2021,technology office presidential
92,2021,office presidential spokesperson
92,2021,presidential spokesperson presidential
92,2021,spokesperson presidential communications
92,2021,presidential communications operations
92,2021,communications operations office
92,2021,operations office directed
92,2021,office directed strengthen
92,2021,directed strengthen enforcement
92,2021,strengthen enforcement monitoring
92,2021,enforcement monitoring communication
92,2021,monitoring communication efforts
92,2021,communication efforts impose
92,2021,efforts impose additional
92,2021,impose additional specific
92,2021,additional specific measures
92,2021,specific measures mitigate
92,2021,measures mitigate possible
92,2021,mitigate possible holiday
92,2021,possible holiday surge
92,2021,holiday surge covid
92,2021,surge covid cases
92,2021,covid cases foreign
92,2021,cases foreign travelers
92,2021,foreign travelers coming
92,2021,travelers coming travel
92,2021,coming travel history
92,2021,travel history within
92,2021,history within last
92,2021,within last days
92,2021,last days prior
92,2021,days prior arrival
92,2021,prior arrival philippines
92,2021,arrival philippines countries
92,2021,philippines countries jurisdictions
92,2021,countries jurisdictions covered
92,2021,jurisdictions covered travel
92,2021,covered travel restrictions
92,2021,travel restrictions covid
92,2021,restrictions covid variant
92,2021,covid variant permitted
92,2021,variant permitted entry
92,2021,permitted entry philippines
92,2021,entry philippines january
92,2021,philippines january 2021
92,2021,january 2021 notwithstanding
92,2021,2021 notwithstanding previous
92,2021,notwithstanding previous iatf
92,2021,previous iatf resolutions
92,2021,iatf resolutions exemptions
92,2021,resolutions exemptions except
92,2021,exemptions except following
92,2021,except following local
92,2021,following local accredited
92,2021,local accredited foreign
92,2021,accredited foreign diplomats
92,2021,foreign diplomats international
92,2021,diplomats international organizations
92,2021,international organizations world
92,2021,organizations world health
92,2021,world health organization
92,2021,health organization united
92,2021,organization united nations
92,2021,united nations exempted
92,2021,nations exempted quarantine
92,2021,exempted quarantine protocols
92,2021,quarantine protocols provided
92,2021,protocols provided undergo
92,2021,provided undergo pcr
92,2021,undergo pcr test
92,2021,pcr test upon
92,2021,test upon arrival
92,2021,upon arrival airport
92,2021,arrival airport execute
92,2021,airport execute undertaking
92,2021,execute undertaking observe
92,2021,undertaking observe strict
92,2021,observe strict day
92,2021,strict day quarantine
92,2021,day quarantine pursuant
92,2021,quarantine pursuant relevant
92,2021,pursuant relevant doh
92,2021,relevant doh memorandum
92,2021,doh memorandum circular
92,2021,memorandum circular foreign
92,2021,circular foreign dignitaries
92,2021,foreign dignitaries observe
92,2021,dignitaries observe existing
92,2021,observe existing testing
92,2021,existing testing quarantine
92,2021,testing quarantine protocols
92,2021,quarantine protocols upon
92,2021,protocols upon arrival
92,2021,upon arrival medical
92,2021,arrival medical emergency
92,2021,medical emergency cases
92,2021,emergency cases including
92,2021,cases including medical
92,2021,including medical escorts
92,2021,medical escorts filipino
92,2021,escorts filipino citizens
92,2021,filipino citizens coming
92,2021,citizens coming countries
92,2021,coming countries jurisdictions
92,2021,countries jurisdictions travel
92,2021,jurisdictions travel restrictions
92,2021,travel restrictions place
92,2021,restrictions place within
92,2021,place within fourteen
92,2021,within fourteen days
92,2021,fourteen days immediately
92,2021,days immediately preceding
92,2021,immediately preceding arrival
92,2021,preceding arrival philippines
92,2021,arrival philippines undergo
92,2021,philippines undergo strict
92,2021,undergo strict observation
92,2021,strict observation absolute
92,2021,observation absolute fourteen
92,2021,absolute fourteen day
92,2021,fourteen day facility
92,2021,day facility based
92,2021,facility based quarantine
92,2021,based quarantine period
92,2021,quarantine period save
92,2021,period save highly
92,2021,save highly exceptional
92,2021,highly exceptional medical
92,2021,exceptional medical reasons
92,2021,medical reasons upon
92,2021,reasons upon determination
92,2021,upon determination department
92,2021,determination department health
92,2021,department health cognizant
92,2021,health cognizant current
92,2021,cognizant current limited
92,2021,current limited knowledge
92,2021,limited knowledge effect
92,2021,knowledge effect available
92,2021,effect available vaccines
92,2021,available vaccines transmissibility
92,2021,vaccines transmissibility covid
92,2021,transmissibility covid individual
92,2021,covid individual arriving
92,2021,individual arriving philippines
92,2021,arriving philippines may
92,2021,philippines may received
92,2021,may received vaccination
92,2021,received vaccination covid
92,2021,vaccination covid countries
92,2021,covid countries jurisdictions
92,2021,countries jurisdictions still
92,2021,jurisdictions still required
92,2021,still required observe
92,2021,required observe mandatory
92,2021,observe mandatory testing
92,2021,mandatory testing quarantine
92,2021,testing quarantine protocols
92,2021,quarantine protocols resolved
92,2021,protocols resolved chairperson
92,2021,resolved chairperson chairperson
92,2021,chairperson chairperson duly
92,2021,chairperson duly authorized
92,2021,duly authorized sign
92,2021,authorized sign resolution
92,2021,sign resolution behalf
92,2021,resolution behalf inter
92,2021,behalf inter agency
92,2021,inter agency task
92,2021,agency task force
92,2021,task force approved
92,2021,force approved sth
92,2021,approved sth january
92,2021,sth january 2021
92,2021,january 2021 videoconference
92,2021,2021 videoconference certification
94,2021,section article 1987
94,2021,article 1987 constitution
94,2021,1987 constitution states
94,2021,constitution states state
94,2021,states state protect
94,2021,state protect promote
94,2021,protect promote right
94,2021,promote right health
94,2021,right health people
94,2021,health people instill
94,2021,people instill health
94,2021,instill health consciousness
94,2021,health consciousness among
94,2021,consciousness among section
94,2021,among section executive
94,2021,section executive order
94,2021,executive order 168
94,2021,order 168 mandates
94,2021,168 mandates inter
94,2021,mandates inter agency
94,2021,inter agency task
94,2021,agency task force
94,2021,task force management
94,2021,force management emerging
94,2021,management emerging infectious
94,2021,emerging infectious diseases
94,2021,infectious diseases prevent
94,2021,diseases prevent minimize
94,2021,prevent minimize entry
94,2021,minimize entry suspected
94,2021,entry suspected confirmed
94,2021,suspected confirmed patients
94,2021,confirmed patients emerging
94,2021,patients emerging infectious
94,2021,emerging infectious diseases
94,2021,infectious diseases country
94,2021,diseases country september
94,2021,country september 2020
94,2021,september 2020 president
94,2021,2020 president issued
94,2021,president issued proclamation
94,2021,issued proclamation 1021
94,2021,proclamation 1021 2020
94,2021,1021 2020 extending
94,2021,2020 extending period
94,2021,extending period state
94,2021,period state calamity
94,2021,state calamity throughout
94,2021,calamity throughout philippines
94,2021,throughout philippines september
94,2021,philippines september 2021
94,2021,september 2021 department
94,2021,2021 department health
94,2021,department health received
94,2021,health received reports
94,2021,received reports regarding
94,2021,reports regarding new
94,2021,regarding new variant
94,2021,new variant sars
94,2021,variant sars cov
94,2021,sars cov vui
94,2021,cov vui 2020
94,2021,vui 2020 spreading
94,2021,2020 spreading united
94,2021,spreading united kingdom
94,2021,united kingdom great
94,2021,kingdom great britain
94,2021,great britain northern
94,2021,britain northern ireland
94,2021,northern ireland united
94,2021,ireland united kingdom
94,2021,united kingdom another
94,2021,kingdom another variant
94,2021,another variant identified
94,2021,variant identified south
94,2021,identified south africa
94,2021,south africa 501
94,2021,africa 501 memorandums
94,2021,501 memorandums executive
94,2021,memorandums executive secretary
94,2021,executive secretary provided
94,2021,secretary provided additional
94,2021,provided additional measures
94,2021,additional measures observed
94,2021,measures observed relative
94,2021,observed relative sars
94,2021,relative sars cov
94,2021,sars cov variant
94,2021,cov variant detected
94,2021,variant detected united
94,2021,detected united kingdom
94,2021,united kingdom including
94,2021,kingdom including imposition
94,2021,including imposition travel
94,2021,imposition travel restrictions
94,2021,travel restrictions countries
94,2021,restrictions countries jurisdictions
94,2021,countries jurisdictions new
94,2021,jurisdictions new covid
94,2021,new covid variants
94,2021,covid variants officially
94,2021,variants officially reported
94,2021,officially reported subjected
94,2021,reported subjected filipino
94,2021,subjected filipino citizens
94,2021,filipino citizens coming
94,2021,citizens coming countries
94,2021,coming countries jurisdictions
94,2021,countries jurisdictions absolute
94,2021,jurisdictions absolute day
94,2021,absolute day quarantine
94,2021,day quarantine period
94,2021,quarantine period notwithstanding
94,2021,period notwithstanding negative
94,2021,notwithstanding negative reverse
94,2021,negative reverse transcription
94,2021,reverse transcription polymerase
94,2021,transcription polymerase chain
94,2021,polymerase chain reaction
94,2021,chain reaction pcr
94,2021,reaction pcr test
94,2021,pcr test result
94,2021,test result continued
94,2021,result continued implementation
94,2021,continued implementation proactive
94,2021,implementation proactive measures
94,2021,proactive measures necessary
94,2021,measures necessary ensure
94,2021,necessary ensure utmost
94,2021,ensure utmost protection
94,2021,utmost protection health
94,2021,protection health filipino
94,2021,health filipino people
94,2021,filipino people january
94,2021,people january 2021
94,2021,january 2021 total
94,2021,2021 total twenty
94,2021,total twenty four
94,2021,twenty four thousand
94,2021,four thousand four
94,2021,thousand four hundred
94,2021,four hundred seventy
94,2021,hundred seventy eight
94,2021,seventy eight 478
94,2021,eight 478 active
94,2021,478 active covid
94,2021,active covid cases
94,2021,covid cases philippines
94,2021,cases philippines therefore
94,2021,philippines therefore resolved
94,2021,therefore resolved hereby
94,2021,resolved hereby resolved
94,2021,hereby resolved iatf
94,2021,resolved iatf approves
94,2021,iatf approves following
94,2021,approves following updated
94,2021,following updated criteria
94,2021,updated criteria selecting
94,2021,criteria selecting priority
94,2021,selecting priority areas
94,2021,priority areas covid
94,2021,areas covid vaccines
94,2021,covid vaccines deployment
94,2021,vaccines deployment department
94,2021,deployment department health
94,2021,department health consultation
94,2021,health consultation interim
94,2021,consultation interim national
94,2021,interim national immunization
94,2021,national immunization technical
94,2021,immunization technical advisory
94,2021,technical advisory group
94,2021,advisory group nitag
94,2021,group nitag covid
94,2021,nitag covid vaccines
94,2021,covid vaccines hereby
94,2021,vaccines hereby approved
94,2021,hereby approved department
94,2021,approved department transportation
94,2021,department transportation directed
94,2021,transportation directed strictly
94,2021,directed strictly implement
94,2021,strictly implement issuances
94,2021,implement issuances airlines
94,2021,issuances airlines allow
94,2021,airlines allow boarding
94,2021,allow boarding passengers
94,2021,boarding passengers prohibited
94,2021,passengers prohibited entering
94,2021,prohibited entering philippines
94,2021,entering philippines pursuant
94,2021,philippines pursuant travel
94,2021,pursuant travel restrictions
94,2021,travel restrictions imposed
94,2021,restrictions imposed office
94,2021,imposed office president
94,2021,office president iatf
94,2021,president iatf exemptions
94,2021,iatf exemptions entry
94,2021,exemptions entry restrictions
94,2021,entry restrictions governed
94,2021,restrictions governed implementing
94,2021,governed implementing guidelines
94,2021,implementing guidelines may
94,2021,guidelines may issued
94,2021,may issued atf
94,2021,issued atf technical
94,2021,atf technical working
94,2021,technical working group
94,2021,working group coordination
